alert_id,transaction_id,account_id,customer_id,rule_id,rule_name,alert_timestamp,transaction_timestamp,alert_severity,risk_points,reason,evidence_json,investigation_status,synthetic_data_flag
AML-7AF3FB03DC7A80DA,TXN-000001270,ACC-0000088,CUST-000044,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-01T01:11:35,medium,18,Transaction matched the synthetic geography condition: unexpected mismatch.,"{""configured_geography_classification"":""unexpected mismatch"",""cross_border_indicator"":true,""customer_country"":""DE"",""ip_country"":""CA"",""merchant_country"":""GB""}",open,True
AML-5BC4CCF0D65CC2A3,TXN-000001270,ACC-0000088,CUST-000044,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-01T01:11:35,medium,18,"Device or session conditions observed: IP mismatch, new device.","{""authentication_method"":""Password"",""device_id"":""DEV-000044-03"",""ip_country"":""CA"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000175"",""session_risk_signal"":""Low"",""unusual_ip_geography"":true}",open,True
AML-F0BBDDF151EF33DE,TXN-000001270,ACC-0000088,CUST-000044,AML009,"KYC, PEP, sanctions, or watchlist exposure",2026-01-01T00:00:00,2025-01-01T01:11:35,high,32,Synthetic customer due-diligence or watchlist indicators require review.,"{""aml_watchlist_flag"":0,""customer_id"":""CUST-000044"",""kyc_status"":""Verified"",""pep_flag"":false,""sanctions_screening_status"":""Potential Match""}",open,True
AML-5E2E58BE17B8A5CE,TXN-000001270,ACC-0000088,CUST-000044,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-01T01:11:35,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""POS"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Crypto Exchange"",""novel_pattern"":false}",open,True
AML-0A73FEB0C282576E,TXN-000000717,ACC-0000048,CUST-000028,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-01T10:04:57,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""MFA Push"",""device_id"":""DEV-000028-04"",""ip_country"":""GB"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000112"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-97B8297B05F92CEB,TXN-000000717,ACC-0000048,CUST-000028,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-01T10:04:57,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Utilities"",""novel_pattern"":false}",open,True
AML-9F90197DC6FEFFCE,TXN-000000620,ACC-0000042,CUST-000025,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-02T03:11:32,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""MFA Push"",""device_id"":""DEV-000025-02"",""ip_country"":""IE"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000098"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-05A36148F1D59166,TXN-000000620,ACC-0000042,CUST-000025,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-02T03:11:32,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""ATM"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Entertainment"",""novel_pattern"":false}",open,True
AML-1D633791F4DE2AAB,TXN-000001007,ACC-0000068,CUST-000037,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-03T16:14:02,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Password"",""device_id"":""DEV-000037-01"",""ip_country"":""FR"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000145"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-23E3EE4B66D73D4F,TXN-000000369,ACC-0000024,CUST-000016,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-03T16:49:36,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""Biometric"",""device_id"":""DEV-000016-03"",""ip_country"":""SG"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000063"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
